# Taken from https://phl.upr.edu/projects/habitable-exoplanets-catalog
pl_name	pl_type	pl_masse	pl_rade	pl_fluxse	pl_Teff	pl_period	pl_distancely	esi
Kepler-452b	G	3.31	1.63	1.11	295	384.8	1799	0.83
Kepler-62e	K		1.61	1.15	298	122.4	981	0.83
Kepler-1652b	M	3.18	1.6	0.84	276	38.1	822	0.83
Wolf1061c	M	3.41	1.66	1.3	306	17.9	14	0.8
Kepler-1410b	K	3.81	1.78	1.07	293	60.9	1196	0.8
GJ667Cc	M	3.81	1.77	0.88	278	28.1	24	0.8
Kepler-1544b	K	3.81	1.78	0.84	276	168.8	1092	0.79
Kepler-283c	K	3.97	1.82	0.89	280	92.7	1526	0.79
Ross508b	M	4	1.83	1.32	302	10.8	37	0.77
Kepler-1638b	G	4.16	1.87	1.39	312	259.3	4973	0.76
Kepler-440b	K	4.13	1.91	1.44	308	101.1	981	0.75
GJ433d	M	5.22	2.14	1.06	292	36.1	30	0.74
Kepler-1653b	K	5.34	2.17	1.04	291	140.3	2461	0.74
Kepler-705b	M	5.09	2.11	0.77	269	56.1	903	0.73
K2-332b	M	5.47	2.2	1.17	299	17.7	402	0.73
Kepler-155c	M	5.66	2.24	1.05	291	52.7	957	0.73
TOI-2257b	M	5.43	2.2	0.74	254	35.2	188	0.72
Kepler-443b	K	6.04	2.35	0.89	279	177.7	2615	0.71
Kepler-22b	G		2.38	1.1	294	289.9	635	0.71
Kepler-1701b	K	5.56	2.22	1.42	314	169.1	1904	0.71
K2-18b	M	8.92	2.37	1.26	303	32.9	124	0.7
Kepler-1606b	G	4.93	2.07	1.64	325	196.4	2710	0.7
K2-9b	M	5.69	2.25	1.45	316	18.4	270	0.7
GJ180c	M	6.4	2.41	0.78	270	24.3	39	0.7
GJ163c	M	6.8	2.5	1.25	304	25.6	49	0.69
Kepler-1540b	K	6.77	2.49	0.78	270	125.4	799	0.69
Kepler-174d	K	5.43	2.19	0.59	252	247.4	1254	0.68
HD40307g	K	7.09	2.57	0.67	256	197.8	42	0.66
Kepler-296f	M	3.91	1.8	0.44	229	63.3	544	0.66
HIP38594b	M	8.1	2.77	1.34	308	60.7	58	0.65
K2-288Bb	M	4.26	1.91	0.44	234	31.4	214	0.65
HD216520c	K	9.44	3.04	1.28	305	154.4	64	0.63
GJ3293d	M	7.6	2.67	0.59	251	48.1	66	0.63
LHS1140b	M	6.38	1.64	0.36	222	24.7	49	0.62
GJ357d	M	6.1	2.34	0.38	226	55.7	31	0.58
GJ682b	M	4.4	1.94	0.31	215	17.5	16	0.57
GJ229Ac	M	8.57	2.87	0.44	228	121.9	19	0.56
GJ514b	M	5.2	2.13	0.27	199	140.4	25	0.52
GJ180d	M	7.56	2.66	0.26	205	106.3	39	0.48
